Port,Date,Event Type,Trade Value,Modifier
Anchorage,2026-09-06 18:00,Market Slump,-10%,90
Ashbourne,2026-09-06 18:00,Market Slump,-10%,90
Avalon,2026-09-06 18:00,Market Slump,-8%,92
Balangay Bay,2026-09-02 18:01,Market Slump,-9%,91
Birkenhead,2026-09-05 18:00,Market Slump,-14%,86
Bucket Bay,2026-09-04 18:01,Economic Boom,0.19,119
Cliveden,2026-09-05 18:00,Market Slump,-7%,93
Crownstead,2026-09-05 18:00,Economic Boom,0.17,117
Deadman's Murcia,2026-09-03 18:01,Economic Boom,0.2,120
Falmouth,2026-09-04 18:00,Economic Boom,0.15,115
Griffard's Rock,2026-09-02 18:01,Economic Boom,0.23,123
Gyldenvale,2026-09-03 18:00,Economic Boom,0.15,115
Hamilton,2026-09-03 18:01,Market Slump,-9%,91
Junot,2026-09-06 18:00,Market Slump,-9%,91
Lebarde,2026-09-03 18:00,Economic Boom,0.13,113
Longtail Harbour,2026-09-01 18:00,Market Slump,-13%,87
Louisbourg,2026-09-04 18:00,Economic Boom,0.18,118
Mako's Lookout,2026-09-05 18:00,Market Slump,-14%,86
Maurepas,2026-09-05 18:00,Economic Boom,0.14,114
Peter's Cove,2026-09-01 18:00,Economic Boom,0.25,125
Pilltown,2026-09-07 18:00,Market Slump,-13%,87
Port Maynilad,2026-09-07 18:00,Market Slump,-10%,90
Port Royal,2026-09-04 18:00,Market Slump,-10%,90
Port Stanley,2026-09-07 18:06,Economic Boom,0.21,121
Port-au-Croix,2026-09-03 18:00,Market Slump,-12%,88
Porto dos Casais,2026-09-03 18:01,Economic Boom,0.12,112
Princeton,2026-09-02 18:00,Economic Boom,0.15,115
Saint George,2026-09-07 18:06,Economic Boom,0.18,118
Saint-Nicolas,2026-09-06 18:00,Economic Boom,0.21,121
Snake Prosper,2026-09-05 18:00,Economic Boom,0.2,120
Swansea,2026-09-02 18:00,Economic Boom,0.14,114
Taylor's Town,2026-09-06 18:00,Economic Boom,0.17,117
Tucker's Town,2026-09-03 18:00,Market Slump,-12%,88
Venta Nueva,2026-09-04 18:00,Market Slump,-10%,90
Villarreal del Mar,2026-09-05 18:00,Economic Boom,0.18,118
Wyntergard,2026-09-05 18:00,Market Slump,-14%,86
Yorinobu's Settlement,2026-09-07 18:00,Economic Boom,0.24,124
